Hybridization REF,BRCA1,BRCA2,PALB2,CHEK2,CDH1,PTEN,STK11,TP53,ATM,BARD1,BRIP1,CASP8,CTLA4,CYP19A1,FGFR2,LSP1,MAP3K1,MRE11A,NBN,RAD51,TERT,CANCER
TCGA-A2-A0SW-01A-11R-A084-07,-1.669833333,-1.00625,-0.32975,-0.763375,2.5785,0.8237857143,0.390375,-0.567,-1.025083333,-0.0275,-2.779166667,-0.4358,0.5445,-1.465,1.8530625,0.9305,0.818,-0.07753846154,0.445125,-1.351,-1.5155,1
TCGA-BH-A1EO-11A-31R-A137-07,-1.994416667,-2.82425,-1.457,-0.97375,-6.356833333,1.691642857,-0.26975,-0.866166667,-1.95975,-2.0145,-4.138333333,-1.3803,-0.386,-0.308375,-0.423875,2.297375,-0.724,-0.289928571,0.424625,-3.759166667,-1.3845,0
TCGA-AR-A0TY-01A-12R-A115-07,-1.504916667,0.427,-0.73525,-1.358875,3.891583333,1.428785714,0.711875,0.2143333333,-1.494166667,-1.101833333,0.3985,-0.9443,-0.81,-2.367125,1.3286875,-0.15975,0.9005,0.636,0.763875,-0.6031666667,-1.547,1
TCGA-BH-A0DO-11A-22R-A12D-07,-2.243083333,-2.66075,-0.7495,-1.460375,1.72375,1.269071429,-0.06425,0.369333333,-1.334833333,-1.458833333,-3.873,-1.0398,-0.372,-2.8675,2.1660625,1.011625,1.7325,-0.3785,0.503125,-3.901333333,-1.3405,0
TCGA-A7-A0CH-01A-21R-A00Z-07,-1.514666667,-1.965,-0.29225,-0.985875,2.012083333,0.6247142857,0.996625,0.07533333333,-1.536833333,-0.4421666667,-2.9915,-1.0852,-0.1745,-2.6195,1.5605,0.0255,1.5515,-0.06885714286,0.646625,-2.454,-1.6145,1
TCGA-AN-A0AT-01A-11R-A034-07,-3.0265,1.74175,-1.2395,0.278,1.12025,-1.704714286,0.524375,-2.418166667,-2.07825,0.1451666667,0.1295,-1.0614,0.795,-2.932875,-0.310375,0.062125,-0.8955,0.3392857143,0.553875,0.2788333333,-1.128,1
TCGA-A8-A094-01A-11R-A00Z-07,-1.786166667,-0.0405,-1.02375,0.400375,2.470083333,0.3545,0.353,-1.739833333,-1.83925,-0.3868333333,-2.754833333,-0.7749,1.5015,-3.233,-0.088875,0.545,0.367,-0.4492142857,0.577,-0.779,-1.8245,1
TCGA-C8-A12M-01A-11R-A115-07,-2.00575,-1.74875,-1.21225,-2.86925,2.748583333,0.4990714286,-0.309625,1.126166667,-1.06,-1.491166667,-2.571333333,-1.9972,-0.1555,-2.443125,1.216,-0.001125,-0.359,-0.1592142857,0.76575,-1.8575,-1.346,1
TCGA-BH-A1EU-11A-23R-A137-07,-2.476083333,-3.692,-1.249,-0.743,1.529333333,1.155857143,-0.107375,-0.347,-1.770090909,-1.345333333,-4.312,-0.8949,-0.3255,-2.040875,1.5065625,0.841875,-0.456,-0.526307692,0.018375,-4.651333333,-1.9425,0
TCGA-BH-A0DH-11A-31R-A089-07,-1.969083333,-2.81275,-1.05375,-1.142375,1.823083333,1.344357143,-1.055625,-1.562333333,-1.378083333,-0.7075,-3.548833333,-1.6366,-0.17,-2.10275,1.9418125,0.48975,0.399,-0.032,0.452125,-3.925666667,-2.4355,0
TCGA-AO-A12E-01A-11R-A10J-07,-0.62,-0.726,-0.54275,-1.246625,-0.331,0.8807142857,0.260875,-0.5393333333,-1.636416667,-0.03816666667,-1.369833333,-0.6156,-0.29,-0.550375,0.91025,0.56325,1.6265,-0.4122142857,0.29375,-1.480333333,-2.137,1
TCGA-E2-A150-01A-11R-A12D-07,-1.44975,-1.16125,-0.9675,-0.477,2.476666667,1.281285714,-0.436,-1.6245,-1.493166667,-0.75,-2.3535,-1.251,1.459,-2.641625,-0.517375,0.761125,0.736,-0.2118571429,1.009125,-1.257,-1.5115,1
TCGA-E2-A15M-11A-22R-A12D-07,-1.795083333,-1.98375,-1.1585,-0.957375,2.28625,2.494785714,-0.504125,-0.050833333,-1.579454545,-1.4295,-2.623,-1.106888889,-0.936,0.60975,0.956533333,1.461125,0.141,-0.131666667,0.813375,-4.1896,-0.3645,0
TCGA-BH-A0HK-11A-11R-A089-07,-2.34625,-1.81,-1.331,-0.998625,1.96875,1.032285714,0.09775,-0.088666667,-0.918583333,-1.091333333,-2.987833333,-1.0757,-0.0595,-1.5635,1.856875,0.57825,1.562,-0.044928571,0.273125,-4.259666667,-2.1935,0
TCGA-A2-A0EQ-01A-11R-A034-07,-0.87825,0.29075,-0.82925,-0.189375,1.715916667,0.7268571429,0.313,0.1613333333,-1.711916667,0.1021666667,-0.8571666667,-0.5132,1.891,-2.03825,-1.2105625,1.441125,0.72,-0.3873571429,1.54375,-1.0725,-1.772,1
TCGA-AO-A0J7-01A-11R-A034-07,-0.4470833333,-0.36875,-0.2015,-0.26375,1.996166667,0.008357142857,0.462625,0.3025,-2.386666667,0.5725,-1.918833333,-1.1856,0.065,-2.37475,2.14975,0.322125,-0.1575,-0.4363571429,0.321,-1.435166667,-1.5825,1
TCGA-A8-A08P-01A-11R-A00Z-07,-0.9535833333,-0.98525,-0.5415,-0.624875,1.84375,0.5575714286,0.52975,-1.433833333,-1.665583333,-0.1925,-2.119166667,-0.7692,1.777,-2.53075,0.6781875,0.881,1.2815,-0.4111428571,0.483875,-1.2665,-1.9955,1
TCGA-A7-A0CE-11A-21R-A089-07,-2.149,-1.93275,-0.4615,-0.97875,2.803583333,1.692428571,-0.422875,-0.974666667,-0.508166667,-1.093166667,-2.850333333,-0.5712,0.377,0.700125,2.292,-0.1615,1.604,0.0175,0.83675,-3.509,-2.922,0
TCGA-BH-A18J-11A-31R-A12D-07,-2.219166667,-2.66625,-1.0915,-1.169375,2.009916667,1.8415,-0.603625,-1.376166667,-2.144083333,-1.212166667,-4.031666667,-0.9806,-0.847,-2.136625,2.1850625,0.528875,0.0465,0.046428571,0.492625,-3.330166667,-2.0785,0
TCGA-BH-A18R-11A-42R-A12D-07,-2.02525,-2.58175,-1.002,-1.614625,1.55675,2.319642857,-0.86425,-0.855666667,-1.580363636,-1.651166667,-3.552666667,-0.3171,0.031,-1.181285714,1.5868125,1.500125,-1.066,-0.360727273,0.619375,-3.8635,-0.2865,0
TCGA-E2-A15S-01A-11R-A115-07,-0.8308333333,-1.17775,-0.51775,-0.780625,3.733833333,0.6915,-0.694875,-0.463,-1.262,-0.4291666667,-1.349833333,-1.6313,-0.296,-2.857875,-1.049375,0.335,0.345,-0.2219285714,1.35225,-0.08483333333,-1.1975,1
TCGA-A8-A0AB-01A-11R-A034-07,-0.5295833333,-1.47725,0.26075,-0.30925,-2.585833333,0.4458571429,0.101625,-0.3126666667,-2.462166667,-0.2601666667,-1.824666667,-1.3747,0.0605,-1.933,0.5148125,-0.055375,1.47,-0.1249285714,0.48725,-1.0905,-2.219,1
TCGA-AN-A0AM-01A-11R-A034-07,-1.418916667,0.0425,-0.49425,-0.443,2.043333333,-0.3054285714,0.23525,-0.5353333333,-1.627666667,-0.8611666667,-1.916166667,-0.4915,0.584,-1.564,2.1030625,0.34575,0.554,-0.7157857143,0.535875,-1.568333333,-0.9065,1
TCGA-A8-A06N-01A-12R-A056-07,-1.10125,-1.229,-0.4935,-2.1875,2.7,-0.1027142857,0.3615,-0.9928333333,-1.88525,-0.6133333333,-2.4475,-1.886,-0.7745,-3.42525,1.0251875,-0.439125,0.633,-0.6454285714,0.278625,-2.103333333,-2.127,1
TCGA-BH-A0B7-11A-34R-A115-07,-2.439083333,-2.6525,-0.79825,-0.975125,2.125166667,0.797857143,0.79225,0.4265,-1.064166667,-1.099333333,-3.9185,-0.8185,-0.314,-3.260375,2.5390625,-0.20125,1.2375,-0.232714286,-0.3005,-3.510833333,-0.968,0
TCGA-BH-A0DO-11A-22R-A12D-07,-2.243083333,-2.66075,-0.7495,-1.460375,1.72375,1.269071429,-0.06425,0.369333333,-1.334833333,-1.458833333,-3.873,-1.0398,-0.372,-2.8675,2.1660625,1.011625,1.7325,-0.3785,0.503125,-3.901333333,-1.3405,0
TCGA-BH-A0H7-11A-13R-A089-07,-2.022166667,-1.6555,-0.732,-1.372,2.539333333,1.144071429,-0.141375,-0.446833333,-2.182272727,-0.209166667,-3.2875,-1.4802,-0.0565,-2.4685,2.4013125,0.22275,1.575,-0.232076923,0.4525,-2.566,-2.7765,0
